id1, id2, similarityScore
1, 2, 0.792819
5, 6, 0.798718
7, 8, 0.875641
9, 10, 0.856061
11, 12, 0.808333
13, 14, 0.983333
17, 18, 0.983333
25, 26, 0.771937
27, 28, 0.865686
29, 30, 0.811905
33, 34, 0.983333
39, 40, 0.853333
43, 44, 0.983333
47, 48, 0.820696
49, 50, 0.789744
51, 52, 0.806593
53, 54, 0.806410
57, 58, 0.769825
59, 465, 0.766026
63, 64, 0.806410
65, 66, 0.806410
67, 68, 0.906410
71, 72, 0.820696
75, 76, 0.844872
79, 80, 0.781410
80, 82, 0.759524
85, 313, 0.780952
89, 90, 0.781410
91, 92, 0.892308
93, 94, 0.820696
97, 98, 0.787892
101, 102, 0.906410
107, 108, 0.906410
109, 110, 0.796410
113, 114, 0.773481
115, 116, 0.895884
119, 120, 0.756410
131, 132, 0.820696
135, 136, 0.803209
137, 138, 0.870290
141, 142, 0.757971
145, 146, 0.895471
147, 148, 0.784632
149, 150, 0.864103
157, 158, 0.864286
159, 160, 0.778571
161, 162, 0.863333
165, 166, 0.782410
167, 168, 0.777778
169, 170, 0.783333
169, 519, 0.754762
171, 172, 0.868440
173, 174, 0.906410
175, 176, 0.889583
177, 178, 0.790896
179, 181, 0.855325
180, 182, 0.937143
180, 823, 0.780952
184, 823, 0.770833
185, 186, 0.841228
187, 188, 0.983333
189, 190, 0.883333
191, 192, 0.811905
193, 194, 0.897619
195, 196, 0.858974
197, 198, 0.897619
199, 200, 0.767065
201, 202, 0.883333
203, 204, 0.818498
205, 206, 0.856061
207, 208, 0.823333
207, 593, 0.765399
209, 210, 0.883333
211, 212, 0.816667
213, 214, 0.883333
217, 218, 0.819468
219, 220, 0.856061
223, 224, 0.983333
319, 322, 0.760000
406, 437, 0.756380
407, 485, 0.757143
544, 561, 0.812471
559, 774, 0.761180
614, 637, 0.773529
629, 642, 0.754615
746, 747, 0.790000
